P Wave Onset Error,S Wave Onset Error,Coda Error,S-P Lag,Distance from Epicenter (km)
-6.449999809265137,-0.07999931335449162,-1.9499992370605455,17.09,205.07999999999998
-3.799999952316284,-0.18000026702880767,-1.5900001525878906,12.840000000000002,154.08
-2.9800000190734863,-0.08000026702880803,0.7699992370605457,13.120000000000001,157.44
-2.9099998474121094,0.04000038146972784,-3.239999160766601,15.600000000000001,187.2
-3.0299999713897705,0.7499998855590828,-4.070000457763673,13.91,166.92
-5.279999732971191,0.41999923706054787,-2.059999694824217,18.150000000000002,217.8
-0.23999977111816406,-0.10000038146972656,-3.530000915527342,12.99,155.88
-0.2199997901916504,-0.10000083923339886,-4.400000762939452,12.989999999999998,155.87999999999997
-0.309999942779541,-0.15000007629394574,-6.080000305175782,3.079999999999999,36.95999999999999
-0.3400001525878906,-8.780000076293945,-8.5,0.7300000000000004,8.760000000000003
-0.3299999237060547,-0.06000045776367102,-1.330000915527343,10.290000000000001,123.48
0.05000019073486328,-0.07000011444091747,-3.700000915527344,4.010000000000001,48.120000000000005
-8.1899995803833,-11.089999694824218,0.6600000000000001,8.42,101.03999999999999
-1.7300000190734863,-0.09000019073486243,-3.6499992370605483,10.940000000000001,131.28
-0.010000228881835938,0.1400003051757821,-1.2399994659423825,10.47,125.64
-0.19999980926513672,0.22999938964843736,-1.589999237060546,10.54,126.47999999999998
0.10000038146972656,0.20000011444091825,-3.070000686645507,6.470000000000001,77.64
-2.869999885559082,-11.309999923706055,16.14000022888184,2.8900000000000006,34.68
-6.599999904632568,-0.01000007629394517,12.230000839233398,16.76,201.12
-2.890000104904175,0.7099998092651365,-4.610000076293947,12.15,145.79999999999998
-0.17999982833862305,0.07000030517578182,1.179999923706056,10.32,123.83999999999999
-0.26000022888183594,-0.18999980926513693,-1.0700005340576162,10.02,120.23999999999998
-0.23999977111816406,-0.010000686645508239,-1.8799990844726544,12.01,144.11999999999998
-1.239999771118164,-0.05000061035156378,-4.939999237060547,13.299999999999999,159.59999999999997
0.36999988555908203,0.9699998474121099,-3.9300006866455064,9.690000000000001,116.28
-0.059999942779541016,-0.21999992370605526,-1.3399996185302747,10.419999999999998,125.03999999999996
-7.25,0.010000381469726705,-0.38999908447265597,12.41,148.92
-3.4200000762939453,-11.560000762939453,-1.459999771118163,4.0600000000000005,48.72
-6.519999980926514,-12.260000228881836,7.510000228881836,6.02,72.23999999999998
-8.050000190734863,0.06999916076660284,-10.879999771118165,17.740000000000002,212.88
-0.28999996185302734,-0.10999992370605582,-0.9500001525878901,10.009999999999998,120.11999999999996
-4.510000228881836,-0.21000000000000085,-7.109999999999999,16.049999999999997,192.59999999999994
-6.239999771118164,-0.18999961853027258,1.059999313354492,10.700000000000001,128.4
-5.670000076293945,-0.029999618530272443,-3.4499998092651367,9.040000000000001,108.48
-0.3600001335144043,-0.12999988555908182,1.2599993133544913,4.85,58.19999999999999
-5.960000038146973,-0.0299992370605473,-2.380000076293946,17.23,206.76
-0.3000001907348633,-11.329999084472657,-2.3000000000000007,0.9299999999999997,11.159999999999995
-4.449999809265137,-0.02999977111816321,11.30000038146973,11.41,136.92
-0.13000011444091797,-0.24000083923339943,-8.32,11.759999999999998,141.11999999999995
-0.3600001335144043,-0.14999973297119062,-3.919999618530273,3.74,44.879999999999995
-0.23000001907348633,-11.589999237060546,-1.0300000000000011,0.6899999999999995,8.279999999999992
-0.23000001907348633,-8.259999694824218,0.4699990844726578,0.54,6.4799999999999995
-0.5100002288818359,0.13000007629394617,-0.39999877929687244,13.22,158.64
-7.019999980926514,0.35000038146972656,3.3900002288818385,19.77,237.23999999999998
-0.2800002098083496,0.029999542236328836,-3.5600009155273433,9.080000000000002,108.96000000000001
-0.2800002098083496,0.06999954223632798,-3.6499996185302734,9.120000000000001,109.44
-0.14000001549720764,0.019999828338622905,-1.959999885559082,5.68,68.15999999999998
-0.2800002098083496,0.07999992370605469,-24.1,12.780000000000001,153.35999999999999
0.07999992370605469,0.659999618530275,-28.76000030517578,12.430000000000001,149.16
-0.21000003814697266,-0.24000083923339943,-32.320000152587895,10.589999999999998,127.07999999999997
-0.21000003814697266,-8.119999961853027,-11.790000457763668,0.8799999999999999,10.559999999999997
0.0,0.38999969482421903,-27.389998626708984,7.32,87.83999999999999
